,id,Name,sub_id,geo_label,City Class,geo_classification,population,label
12760,401021012,Lumbangan,401021000,Bgy,,R,1886,
12761,401021013,Maalas-As,401021000,Bgy,,R,2369,
12762,401021014,Mabato,401021000,Bgy,,R,2196,
12763,401021015,Mabunga,401021000,Bgy,,R,1834,
12764,401021016,Macalamcam A,401021000,Bgy,,R,1174,
12765,401021017,Macalamcam B,401021000,Bgy,,R,1646,
12766,401021018,Malaya,401021000,Bgy,,R,1842,
12767,401021019,Maligaya,401021000,Bgy,,R,1028,
12768,401021020,Marilag,401021000,Bgy,,R,3294,
12769,401021021,Masaya,401021000,Bgy,,U,4620,
12770,401021022,Matamis,401021000,Bgy,,R,678,
12771,401021023,Mavalor,401021000,Bgy,,R,1604,
12772,401021024,Mayuro,401021000,Bgy,,R,2589,
12773,401021025,Namuco,401021000,Bgy,,U,5890,
12774,401021026,Namunga,401021000,Bgy,,U,5693,
12775,401021027,Natu,401021000,Bgy,,R,2821,
12776,401021028,Nasi,401021000,Bgy,,R,2208,
12777,401021029,Palakpak,401021000,Bgy,,R,941,
12778,401021030,Pinagsibaan,401021000,Bgy,,R,3543,
12779,401021031,Barangay A ,401021000,Bgy,,U,1278,
12780,401021032,Barangay B ,401021000,Bgy,,U,1335,
12781,401021033,Barangay C ,401021000,Bgy,,U,748,
12782,401021034,Barangay D ,401021000,Bgy,,U,896,
12783,401021035,Barangay E ,401021000,Bgy,,U,1881,
12784,401021036,Putingkahoy,401021000,Bgy,,R,2997,
12785,401021037,Quilib,401021000,Bgy,,U,6327,
12786,401021038,Salao,401021000,Bgy,,R,2135,
12787,401021039,San Carlos,401021000,Bgy,,U,3799,
12788,401021040,San Ignacio,401021000,Bgy,,R,2055,
12789,401021041,San Isidro,401021000,Bgy,,R,4106,
12790,401021042,San Jose,401021000,Bgy,,R,2403,
12791,401021043,San Roque,401021000,Bgy,,U,4603,
12792,401021044,Santa Cruz,401021000,Bgy,,R,3267,
12793,401021045,Timbugan,401021000,Bgy,,R,2230,
12794,401021046,Tiquiwan,401021000,Bgy,,R,1875,
12795,401021047,Leviste,401021000,Bgy,,R,1835,
12796,401021048,Tulos,401021000,Bgy,,R,2540,
12797,401022000,San Jose,401000000,Mun,,,79868,
12798,401022001,Aguila,401022000,Bgy,,U,2944,
12799,401022002,Anus,401022000,Bgy,,U,1259,
12800,401022003,Aya,401022000,Bgy,,U,3808,
12801,401022004,Bagong Pook,401022000,Bgy,,U,1512,
12802,401022005,Balagtasin,401022000,Bgy,,R,3687,
12803,401022006,Balagtasin I,401022000,Bgy,,R,1595,
12804,401022007,Banaybanay I,401022000,Bgy,,U,6371,
12805,401022008,Banaybanay II,401022000,Bgy,,U,4514,
12806,401022009,Bigain I,401022000,Bgy,,R,2351,
12807,401022010,Bigain II,401022000,Bgy,,R,1149,
12808,401022011,Calansayan,401022000,Bgy,,U,4275,
12809,401022012,Dagatan,401022000,Bgy,,R,3128,
12810,401022013,Don Luis,401022000,Bgy,,R,2100,
12811,401022014,Galamay-Amo,401022000,Bgy,,U,5880,
12812,401022015,Lalayat,401022000,Bgy,,U,2243,
12813,401022016,Lapolapo I,401022000,Bgy,,R,1730,
12814,401022017,Lapolapo II,401022000,Bgy,,R,2244,
12815,401022018,Lepute,401022000,Bgy,,R,797,
12816,401022019,Lumil,401022000,Bgy,,U,3180,
12817,401022020,Natunuan,401022000,Bgy,,R,1871,
12818,401022021,Palanca,401022000,Bgy,,R,1758,
12819,401022022,Pinagtung-Ulan,401022000,Bgy,,R,4738,
12820,401022023,Poblacion Barangay I,401022000,Bgy,,U,171,
12821,401022024,Poblacion Barangay II,401022000,Bgy,,R,427,
12822,401022025,Poblacion Barangay III,401022000,Bgy,,R,311,
12823,401022026,Poblacion Barangay IV,401022000,Bgy,,R,318,
12824,401022027,Sabang,401022000,Bgy,,R,1769,
12825,401022028,Salaban,401022000,Bgy,,R,1653,
12826,401022029,Santo Cristo,401022000,Bgy,,U,3177,
12827,401022030,Mojon-Tampoy,401022000,Bgy,,R,2407,
12828,401022031,Taysan,401022000,Bgy,,U,3121,
12829,401022032,Tugtug,401022000,Bgy,,R,2323,
12830,401022033,Bigain South,401022000,Bgy,,R,1057,
12831,401023000,San Juan,401000000,Mun,,,114068,
12832,401023001,Abung,401023000,Bgy,,R,2236,
12833,401023002,Balagbag,401023000,Bgy,,R,2867,
12834,401023003,Barualte,401023000,Bgy,,R,1760,
12835,401023004,Bataan,401023000,Bgy,,R,1905,
12836,401023005,Buhay Na Sapa,401023000,Bgy,,U,5378,
12837,401023006,Bulsa,401023000,Bgy,,R,2090,
12838,401023007,Calicanto,401023000,Bgy,,R,1739,
12839,401023008,Calitcalit,401023000,Bgy,,U,4762,
12840,401023009,Calubcub I,401023000,Bgy,,R,2264,
12841,401023010,Calubcub II,401023000,Bgy,,R,3498,
12842,401023011,Catmon,401023000,Bgy,,R,1606,
12843,401023012,Coloconto,401023000,Bgy,,R,795,
12844,401023013,Escribano,401023000,Bgy,,R,3713,
12845,401023014,Hugom,401023000,Bgy,,U,1801,
12846,401023015,Imelda,401023000,Bgy,,R,1048,
12847,401023016,Janaojanao,401023000,Bgy,,R,1638,
